English,Português
testimony,testemunho
praise,louvar
fights,lutas
indians,índios
commission,comissão
growls,rosna
nicole,Nicole
sins,pecados
fraud,fraude
branch,filial
happily,felizmente
bout,combate
covering,cobertura
occurred,ocorreu
beans,feijões
raw,cru
muscle,músculo
pages,páginas
tense,tenso
relationships,relacionamentos
management,gerenciamento
assignment,atribuição
blonde,loiro
catching,pegando
exposed,expor
canada,Canadá
dont,não
han,han
von,von
comedy,comédia
marco,marco
stroke,AVC
whistling,assobio
buildings,edifícios
shaking,tremendo
p.m.,tarde
facility,instalações
appropriate,apropriado
remarkable,notável
transferred,transferido
drawn,retirou
tits,peitos
clicking,clicando
symbol,símbolo
motor,motor
employees,funcionários
ambassador,embaixador
mothers,mães
pile,pilha
feeding,alimentação
soda,refrigerante
checks,verificações
bears,ursos
cookies,cookies
slut,puta
awfully,muito
stepped,desceu
toys,brinquedos
levels,níveis
differently,de forma diferente
magnificent,magnífico
steak,bife
tube,tubo
leaders,líderes
superior,superior
herr,senhor
pan,frigideira
expression,expressão
currently,atualmente
throne,trono
deadly,mortal
bee,abelha
tooth,dente
depressed,deprimido
potatoes,batatas
wicked,malvado
resources,recursos
native,nativo
centuries,séculos
karl,Karl
poetry,poesia
multiple,múltiplos
cable,cabo
shortly,em breve
buzz,zumbido
socks,meias
fingerprints,impressões digitais
goddess,deusa
chin,queixo
anxious,ansioso
september,setembro
colors,cores
basketball,basquetebol
promises,promessas
explained,explicado
appearance,aparência
musical,musical
sends,envia
slide,deslizar
aii,aii
shawn,Shawn
ultimate,final
pork,carne de porco
communication,comunicação
payment,pagamento
structure,estrutura
paperwork,papelada
obsessed,obcecado
lazy,preguiçoso
russians,russos
actors,atores
squeeze,espremer
magical,mágico
colleagues,colegas
admire,admirar
madness,loucura
roads,estradas
entry,entrada
injury,ferida
burden,fardo
racing,corrida
manner,maneiras
freezing,congelamento
bits,pedaços
norman,normando
mount,montar
battery,bateria
dessert,sobremesa
pound,libra
visited,visitado
motel,motel
rumbling,estrondo
cinema,cinema
fond,carinhoso
halfway,na metade do caminho
rifle,rifle
reception,recepção
statue,estátua
fridge,geladeira
brick,tijolo
abandon,abandonar
lap,colo
natalie,Natalie
wars,guerras
recommend,recomendar
brush,escovar
nelson,Nelson
pill,pílula
concept,conceito
w,c
delay,atraso
quarters,alojamentos
korea,Coréia
janet,Janet
rub,esfregar
mall,shopping center
soil,solo
complaint,reclamação
sail,velejar
baker,padeiro
coughs,tosses
bucket,balde
description,descrição
badge,distintivo
measure,medir
hip,quadril
function,função
indistinctly,indistintamente
harris,Harris
foundation,fundação
labor,trabalho
willie,Willie
waiter,garçom
homeless,morador de rua
proved,comprovado
unfortunate,infeliz
log,registro
meetings,reuniões
giggles,risinhos
combat,combate
poem,poema
polish,polonês
handed,entregue
mia,mia
weed,erva
raymond,Raymond
tons,toneladas
satellite,satélite
jersey,camisa
eagle,águia
privacy,privacidade
chapter,capítulo
treating,tratamento
wisdom,sabedoria
flip,virar
entering,entrando
barn,celeiro
farmer,agricultor
clan,clã
budget,orçamento
pub,pub
temporary,temporário
effective,eficaz
sonny,filho
wendy,Wendy
juan,Juan
lamb,cordeiro
plot,trama
riley,Riley
proposal,proposta
sticks,gravetos
searched,pesquisado
blessing,bênção
rage,raiva
bothered,incomodado
sydney,Sydney
basis,base
manners,boas maneiras
recover,recuperar
twist,torção
neil,Neil
leak,vazar
item,item
catholic,católico
sighing,suspirando
retired,aposentado
kings,reis
inner,interno
cents,centavos
affect,afetar
forbidden,proibido
patch,correção
drops,gotas
necessarily,necessariamente
provided,oferecido
meters,metros
booked,reservado
returns,retornos
gloria,glória
fires,incêndios
humor,humor
torn,rasgado
e-mail,e-mail
rocky,rochoso
introduced,introduzido
creative,criativo
betray,trair
soviet,soviético
various,vários
added,adicionado
discovery,descoberta
cowboy,vaqueiro
suspected,suspeito
suggested,sugerido
delighted,encantado
sticking,grudando
dive,mergulho
shane,shane
radar,radar
prosecutor,promotor
amber,âmbar
vast,grande
quinn,Quinn
owned,controlado
cookie,cookie
finest,melhor
felix,Félix
pump,bombear
valentine,dia dos namorados
counter,contador
sorts,tipos
coin,moeda
warren,Warren
slaves,escravos
marine,marinho
illness,doença
sack,saco
bid,oferta
require,exigir
moscow,Moscou
largest,maior
washing,lavagem
achieve,alcançar
causes,causas
k,k
mo,mo
dope,droga
nest,ninho
palm,palma
logan,Logan
constant,constante
b.,b.
boo,vaia
medication,medicamento
gravity,gravidade
booze,bebida
noah,Noé
evan,Evan
abroad,fora do país
christine,Christine
rising,ascendente
analysis,análise
cuts,cortes
eats,come
employee,funcionário
vodka,vodka
damaged,danificado
solar,solar
height,altura
pops,pops
yards,jardas
terrified,aterrorizada
suitcase,mala
chemical,produtos químicos
preparing,preparando
advanced,avançado
fund,fundo
wears,usa
chirping,chilreando
web,web
phase,fase
prom,baile de formatura
suggesting,sugerindo
fleet,frota
lame,muito ruim
irish,irlandês
editor,editor
october,outubro
assumed,assumido
whip,chicote
mel,mel
region,região
amongst,entre
temper,temperamento
discussion,discussão
engines,motores
operate,operar
sunshine,luz do sol
acted,agiu
undercover,disfarçado
horror,horror
tested,testado
smash,esmagar
contrary,contrário
roses,rosas
poker,pôquer
wrapped,envolto
korean,coreano
graham,Graham
mi,mi
fu,fu
ivan,Ivan
focused,focado
liam,Liam
tragic,trágico
carla,Carla
demons,demônios
rounds,rodadas
entertainment,entretenimento
gathered,coletado
uhh,uhh
yells,gritos
lincoln,Lincoln
crossing,cruzamento
blanket,cobertor
nut,noz
travis,Travis
pockets,bolsos
limited,limitado
paintings,pinturas
sober,sóbrio
caesar,César
sis,irmã
intended,pretendido
niece,sobrinha
computers,computadores
tennis,tênis
needle,agulha
chicks,pintinhos
traditional,tradicional
delicate,delicado
independent,independente
leslie,Leslie
lauren,Lauren
grandson,neto
repair,reparar
a.,um.
brandon,Brandon
executive,executivo
colin,Colin
recognized,reconhecido
holmes,Holmes
regarding,a respeito de
weakness,fraqueza
aliens,alienígenas
gunshots,tiros
european,europeu
method,método
tool,ferramenta
demands,demandas
permit,permitir
towel,toalha
daisy,margarida
nowadays,hoje em dia
spider,aranha
northern,norte
rangers,guardas florestais
zoo,jardim zoológico
praying,orando
antonio,Antônio
passengers,passageiros
con,com
australia,Austrália
technique,técnica
cellphone,celular
gently,suavemente
operations,operações
planes,aviões
bunny,coelhinho
gunfire,tiros
shining,brilhante
backwards,para trás
skill,habilidade
uh-,uh-
baron,barão
kidnapping,sequestro
iike,gosto
marshal,marechal
petty,pequeno
sealed,selado
massage,massagem
raising,subindo
menu,menu
diary,diário
fucker,Idiota
wagon,vagão
audition,audição
mitch,Mitch
mexican,mexicano
casino,cassino
bacon,bacon
diego,Diego
dutch,holandês
promotion,promoção
click,clique
forgiveness,perdão
burst,explodido
permanent,permanente
interfere,interferir
chanting,cantando
dammit,droga
spencer,Spencer
recovered,recuperado
registered,registrado
sunny,ensolarado
packing,embalagem
scenes,cenas
superman,super-homem
questioning,questionando
unfair,injusto
admitted,admitiu
ancestors,ancestrais
polite,educado
completed,concluído
swallow,engolir
conduct,conduta
prayers,orações
sheet,folha
fried,frito
avenue,avenida
poisoned,envenenado
reverse,reverter
newspapers,jornais
ford,Ford
complaining,reclamando
senses,sentidos
investment,investimento
absurd,absurdo
potato,batata
understands,entende
grows,cresce
inspired,inspirado
ruby,rubi
celebrating,comemorando
tag,marcação
ram,bater
requires,requer
bonnie,Bonnie
bugs,insetos
leonard,Leonardo
elliot,Elliot
hooked,viciado
jill,Jill
ranch,rancho
safer,mais seguro
worn,desgastado
crashing,quebrando
lands,terras
heather,Mesclado
ash,cinzas
leather,couro
grounds,terrenos
assuming,supondo
nails,unhas
dana,dana
conspiracy,conspiração
thanksgiving,ação de graças
pierre,Pierre
guardian,guardião
rumors,rumores
yen,iene
megan,Megan
ashes,cinzas
terror,terror
misunderstanding,mal-entendido
tire,pneu
boats,barcos
parade,parada
halt,parar
immunity,imunidade
adults,adultos
steam,vapor
kang,Kang
closely,de perto
pearl,pérola
soccer,futebol
adrian,Adriano
priority,prioridade
shouts,gritos
donald,Donald
happier,mais feliz
khan,Khan
struggling,lutando
root,raiz
larger,maior
november,novembro
boot,bota
conflict,conflito
laughed,sorriu
debbie,Débia
cherry,cereja
honking,buzinando
concerns,preocupações
celebration,celebração
sore,dolorido
unconscious,inconsciente
cattle,gado
breasts,seios
fairly,com justiça
fee,taxa
recognise,reconhecer
wade,vadear
radiation,radiação
holidays,feriados
raining,chovendo
forgetting,esquecendo
lungs,pulmões
register,registrar
shadows,sombras
specifically,especificamente
sarge,sargento
ideal,ideal
turtle,tartaruga
spoil,estragar
deserved,merecido
ronnie,ronnie
gina,Gina
candidate,candidato
lance,lança
types,tipos
bloke,cara
explode,explodir
immediate,imediato
belonged,pertencia
identified,identificado
di,di
hunger,fome
closest,mais próximo
combination,combinação
nanny,babá
seth,Seth
gabriel,Gabriel
develop,desenvolver
detectives,detetives
severe,forte
en,en
organized,organizado
franklin,Franklin
gut,intestino
splendid,esplêndido
dismissed,demitido
pm,tarde
yang,yang
halloween,Halloween
ellie,Ellie
vulnerable,vulnerável
continued,continuação
vital,vital
comrades,camaradas
bureau,escritório
drawer,gaveta
harper,harper
retreat,retiro
carson,Carson
benny,Benny
pillow,travesseiro
troy,Tróia
ace,ás
cart,carrinho
nap,sesta
chan,chan
ham,presunto
announce,anunciar
borrowed,emprestado
parked,estacionado
galaxy,galáxia
voted,votou
muffled,abafado
mmm-hmm,Hum-hum
jewelry,joia
kisses,beijos
luggage,bagagem
groom,noivo
oops,ops
lighter,isqueiro
masters,mestres
alliance,aliança
buddies,amigos
clothing,roupas
denied,negado
drown,afogar
alike,parecido
excellency,excelência
relative,relativo
photographs,fotografias
burger,hambúrguer
dough,massa
alicia,alicia
wreck,naufrágio
approve,aprovar
produced,produzido
christina,Cristina
physically,fisicamente
stations,estações
eli,eli
samantha,Samantha
spiritual,espiritual
sire,pai
roaring,rugindo
stab,facada
inch,polegada
servants,criados
limits,limites
unexpected,inesperado
arrival,chegada
whimpering,choramingando
basket,cesta
sheets,folhas
scandal,escândalo
stink,fedor
homer,Homero
tara,tara
christopher,Christopher
toes,dedos do pé
t-,t-
shield,escudo
shooter,atirador
instant,instantâneo
objects,objetos
rehearsal,ensaio
disturbing,perturbador
directed,dirigido
scan,digitalização
electronic,eletrônico
republic,república
overnight,durante a noite
counsel,conselho
sirens,sirenes
dorothy,Dorothy
bait,isca
dignity,dignidade
explains,explica
lean,magro
heroin,heroína
tracy,Tracy
rex,rex
barney,Barney
gossip,fofoca
humble,humilde
economy,economia
worlds,mundos
impress,impressionar
clara,clara
tissue,tecido
threaten,ameaçar
et,et
bump,ressalto
supreme,supremo
bingo,Bingo
mitchell,Mitchell
excitement,excitação
mankind,humanidade
document,documento
broad,largo
vietnam,Vietnã
vessel,navio
lit,aceso
dale,vale
killers,assassinos
connor,Connor
mario,mario
foul,falta
stare,olhar fixo
deaths,mortes
hut,cabana
elements,elementos
coma,coma
laying,colocando
coffin,caixão
paula,paula
cocaine,cocaína
puppy,filhote de cachorro
louder,mais alto
handled,tratado
announcement,anúncio
oath,juramento
mob,multidão
cotton,algodão
deposit,depósito
taxes,impostos
injuries,lesões
jen,Jen
autopsy,autópsia
advise,conselho
gig,show
lecture,palestra
posted,postado
skinny,magrelo
lo,lo
include,incluir
revealed,revelado
infected,infetado
relieved,aliviado
assistance,assistência
solo,solo
determine,determinar
terrorists,terroristas
elsewhere,em outro lugar
lamp,lâmpada
practical,prático
marked,marcado
adorable,adorável
rubber,borracha
purple,roxo
operating,operando
suite,suíte
apologies,Peço desculpas.
personnel,pessoal
beam,feixe
poet,poeta
samples,amostras
arrow,seta
counselor,conselheiro
carpet,tapete
allen,Allen
audrey,Audrey
spotted,identificado
floating,flutuante
corrected,corrigido
located,localizado
journalist,jornalista
insisted,insistiu
operator,operador
rely,confiar
singh,singh
fooled,enganado
arrives,chega
i.d.,eu ia.
leon,Leão
walt,Walt
eastern,oriental
ay,sim
shave,depilar
remaining,restante
toss,arremessar
anderson,Anderson
lip,lábio
acid,ácido
nora,nora
si,si
december,dezembro
anonymous,anônimo
inn,Pousada
planted,plantado
oldest,mais velho
breast,seios
sixth,sexto
error,erro
reporting,reportagem
egypt,Egito
islands,ilhas
brother-in-law,cunhado
jules,jules
roommate,colega de quarto
sings,canta
scum,escumalha
visitor,Visitante
giggling,rindo
described,descrito
geez,caramba
inches,polegadas
commitment,compromisso
hercules,Hércules
react,reagir
cows,vacas
protest,protesto
misery,miséria
theft,roubo
embrace,abraçar
darn,droga
harsh,severo
andrea,Andrea
communicate,comunicar
fathers,pais
faithful,fiel
hector,Hector
uh-uh,uh-uh
flame,chama
medal,medalha
silk,seda
photographer,fotógrafo
trevor,Trevor
cemetery,cemitério
rear,traseira
freddy,Freddy
banana,banana
allison,Allison
emotion,emoção
chap,rachar
dated,datado
excuses,desculpas
shitty,merda
bin,lixeira
jew,judeu
gum,goma
crushed,esmagado
efforts,esforços
content,contente
corporal,corporal
realised,percebeu
del,del
rap,rap
hopeless,sem esperança
debate,debate
era,era
luckily,felizmente
ton,tonelada
liquid,líquido
swell,inchar
peggy,Peggy
feast,celebração
murphy,Murphy
attracted,atraído
application,aplicativo
profession,profissão
bench,banco
vanessa,Vanessa
ahem,ahem
symptoms,sintomas
scout,escoteiro
crashed,caiu
keen,ansioso
aircraft,aeronave
formed,formado
hon,honra
aggressive,agressivo
pale,pálido
significant,significativo
duncan,Duncan
clubs,clubes
visual,visual
embassy,embaixada
defence,defesa
cabinet,gabinete
display,mostrar
fame,fama
gibbs,Gibbs
drowned,afogado
wolves,lobos
filming,filmagem
dunno,Não sei.
cursed,amaldiçoado
twin,gêmeo
sorrow,tristeza
vault,cofre
defeated,derrotado
watson,Watson
quote,citar
penalty,pena
bargain,negociar
pepper,pimenta
speaker,palestrante
compare,comparar
satan,satan
helmet,capacete
scar,cicatriz
copies,cópias
fuss,alvoroço
envelope,envelope
perry,perada
stinks,fede
african,africano
arrangements,arranjos
wished,desejado
honored,honrado
believing,acreditando
discussed,discutido
assigned,atribuído
rosa,rosa
oven,forno
jenna,Jenna
attacking,atacante
tin,estanho
sonic,sônico
collar,colarinho
mere,simples
romeo,Romeu
belief,crença
storage,armazenar
rusty,oxidado
psycho,psicopata
climbing,escalando
melissa,Melissa
fears,medos
sum,soma
dedicated,dedicado
ladder,escada
alternative,alternativa
raid,ataque
dining,jantar
ms,EM
corporate,corporativo
folk,povo
jon,jon
replaced,substituído
bailey,bailey
un,un
heels,salto
duties,obrigações
smarter,mais inteligente
existed,existia
surprising,surpreendente
chess,xadrez
requested,solicitado
cruise,cruzeiro
primary,primário
rhythm,ritmo
drum,tambor
models,modelos
motorcycle,motocicleta
adopted,adotado
barrel,barril
cargo,carga
planets,planetas
shove,empurrão
wha,o quê
surprises,surpresas
rosie,Rosie
dings,dings
trailer,reboque
cannon,canhão
tables,tabelas
arse,bunda
ally,aliado
lawrence,Lawrence
wee,pequenino
tapes,fitas
dull,chato
sandra,Sandra
teenage,adolescente
kent,Kent
cooperate,cooperar
risks,riscos
dug,cavado
worthless,inútil
arriving,chegando
kindness,gentileza
ties,gravatas
items,Unid
and-,e-
grip,pegada
relations,relações
rumor,rumor
skirt,saia
frog,sapo
paige,Paige
lloyd,Lloyd
claimed,reivindicado
perfume,perfume
instrumental,instrumental
flames,chamas
association,associação
loses,perde
january,janeiro
spike,espinho
israel,Israel
eleven,onze
gallery,galeria
ginger,ruivo
activities,atividades
iraq,Iraque
boarding,embarque
fist,punho
stuffed,recheado
improve,melhorar
creation,criação
connie,Connie
infection,infecção
strikes,greves
wiped,limpo
tension,tensão
whistles,assobios
kindly,gentilmente
certificate,certificado
curtis,curtis
bold,audacioso
threats,ameaças
claudia,claúdia
sid,lado
twisted,torcido
suspended,suspenso
affected,afetado
envy,inveja
whale,baleia
dial,discador
cameron,Cameron
martial,marcial
controlled,controlado
lung,pulmão
nigga,preto
coal,carvão
upside,vantagem
imperial,imperial
pam,Pam
paranoid,paranoico
signing,assinatura
congress,congresso
villa,vila
candles,velas
filling,enchimento
becky,Becky
comic,quadrinhos
faint,desmaiar
recovery,recuperação
volunteer,voluntário
tech,tecnologia
bleed,sangrar
positions,posições
cindy,Cindy
narrow,estreito
forbid,proibir
stuart,Stuart
perspective,perspectiva
faced,enfrentado
neat,organizado
pierce,perfurar
observe,observar
cycle,ciclo
psychic,psíquico
handling,manuseio
goose,ganso
accidentally,acidentalmente
conclusion,conclusão
designer,designer
sits,senta
importance,importância
spots,manchas
francs,francos
sweep,varrer
destroying,destruindo
communist,comunista
blackmail,chantagem
pacific,pacífico
risky,arriscado
glorious,glorioso
filed,protocolado
hatred,ódio
cam,câmera
deals,ofertas
pos,pos
fooling,enganando
persons,pessoas
scotch,uísque
executed,executado
brakes,freios
blank,em branco
tender,macio
kurt,Kurt
turner,Turner
tub,banheira
sucker,otário
slight,pouco
addition,adição
campus,campus
